	leukocyty	weight	hbver	er-cv	ast	indicator	hematokrit	trombocyty	name	smoker	ssn	alt	etytr	erytrocyty	hemoglobin	alp	relationship
1085	8.23481	90.47835	7.12295	45.35097	49.20877	1.00000	7.63344	4.22184	James Martin	no	598-95-9488	14.15145	4.42601	8.12586	5.16691	66.60305	widowed
1086	7.76790	-5.11387	5.75313	60.60845	62.09310	1.00000	6.30720	5.39523	Christian Chapman	no	345-80-3440	5.97842	5.74604	7.18869	7.60524	61.71463	divoced
1087	6.59816	58.66320	5.86699	41.62187	50.93538	1.00000	5.05631	4.06776	Dennis Boone	no	263-70-6894	9.28724	5.48781	6.65589	7.95530	40.33135	single
1088	7.17462	-31.04554	4.37457	74.36304	34.70764	0.00000	5.90238	6.40098	Robert Johnson	yes	282-21-3701	13.39623	3.52240	7.81560	6.64019	83.57856	married
1089	8.18683	69.93684	6.59951	37.53183	53.94493	1.00000	5.66019	6.21423	Bryan Russell	no	492-28-4056	5.74622	5.96641	4.71167	7.57641	52.16677	separated
1090	6.92877	65.79157	5.86955	29.09024	51.79818	1.00000	8.66909	6.01492	Brittany Brown	N	092-14-5933	6.86180	4.51172	7.17522	7.66793	54.40495	single
1091	4.21250	75.57456	5.54445	100.00000	52.75157	1.00000	6.95020	4.05687	Samantha Jenkins	no	235-56-5895	14.35765	4.76015	8.06309	5.44988	73.07703	married
1092	7.53146	67.47521	6.08929	65.28215	44.82030	0.00000	4.42517	7.64119	Dale Barnett	no	256-55-0196	20.87353	5.48568	8.61609	7.45383	56.16286	nop
1093	9.10729	-7.58162	6.75219	86.43428	46.24532	1.00000	7.13679	5.25648	Daniel Lewis	Y	663-85-5703	17.36531		8.14773	6.53071	79.40681	married
1094	8.10232	81.31745	6.05589	45.42350	70.33998	1.00000	5.97719	6.96970	Christopher Barrera	Y	106-37-2928	30.41714	6.77867	9.09302	6.59949	84.56511	widowed
1095	6.87632	116.49155	7.55248	72.38975	48.71975	0.00000	5.28334	7.06242	Denise Winters	Y	093-91-2937	4.38378	4.13649	4.73236	7.06565	72.28221	married
1096	8.18106	108.13568	5.33694	43.06177	44.15860	1.00000	5.79101	6.77573	Stephanie Doyle	no	818-51-5718	6.29638	6.50314	5.58582	4.67992	49.50417	separated
1097	7.15063	60.11548	7.13209	47.16519	65.29361	1.00000	5.55777	4.62171	Mrs. Ashley Davis	yes	520-92-1101	11.23477	5.53474	7.69070	6.56752	80.51958	divoced
1098	4.48590	72.61543	7.03621	38.51921	68.96235	1.00000	8.36382	4.39321	Molly Lopez	no	048-45-4201	6.69205	4.98296	6.14034	6.68765	90.48522	single
1099	5.85961	48.35940	5.83625	75.70551	53.19364	1.00000	9.89883	7.52170	Jason Nelson	no	593-79-9664	14.08269	6.90595	8.03006	6.87645	80.16889	nop
1100	8.50745	85.95121	6.84517	45.55147	32.18096	1.00000	5.12164	6.98450	John Gallagher	no	348-57-8913	7.65089	6.28682	7.29552	5.92003	82.06677	divoced
1101	5.96129	115.90057	6.21852	26.63491	37.84917	0.00000	7.24595	7.30085	Patricia Lloyd	yes	745-20-8101	4.72494	8.91235	6.68325	4.76686	55.87829	single
1102	7.59319	60.92761	7.18196	35.92156	31.78401	1.00000	3.80299	7.07371	Rebecca Ruiz	no	116-75-1310	17.78179	7.04783	8.39626	8.47952	11.23637	divoced
1103	5.12327	118.49986	6.67065	67.97079	58.31049	1.00000	8.30160	5.74967	Laura Thompson	yes	119-26-1897	5.37624	6.34500	6.43014	6.50839	82.00455	single
1104	9.17051	42.56072	6.43517	65.17249	34.01086	1.00000	4.40011	8.62353	Thomas Hart	no	714-90-6099	8.28551	7.00680	6.11027	6.61160	86.99443	divoced
1105	5.63016	66.97955	6.45010	50.74673	49.89594	1.00000	9.11993	6.32772	Matthew Butler	no	564-89-1768	5.16101	6.13473	6.25770	6.48885	84.33929	widowed
1106	8.60991	30.08298	5.51992	51.28131	51.22206	1.00000	4.92814	6.71966	Jeffrey Ramirez	yes	454-18-9935	8.13783	5.92215	6.73370	6.52606	83.92330	widowed
1107	5.45766	49.88735	9.74025	49.06675	50.24548	1.00000	8.04524	6.83870	Yolanda Jones	no	643-02-5346	9.14403	7.48992	7.14418	6.31043	94.20341	married
1108	6.37938	59.72606	7.37711	34.09048	23.92054	1.00000	9.41389	6.84571	Kristin Lawson	no	223-42-6830	7.26348	5.73273	6.92902	7.56862	61.25436	separated
1109	5.10356	80.45456	6.65551	28.76364	47.88446	1.00000	8.51881	7.11956	Angel Harrison	no	620-83-6700	4.57364	6.85697	5.13523	5.47452	71.32942	divoced
1110	4.87382	82.11877	6.98339	57.38007	58.05917	1.00000	8.19298	5.64505	Brian Duncan	yes	179-24-4431	9.43503	6.61722	7.20711	8.43006	17.05544	married
1111	4.66307	110.86946	6.77278	34.81341	38.24875	1.00000	8.26498	5.69950	Amber Clark	no	853-65-5490	23.44711	5.27275	8.63764	7.59780	58.44255	single
1112	8.73302	119.06618	7.37749	66.18429	63.60909	1.00000	6.25465	6.52857	Angelica James	no	114-79-8811	4.27016	5.82200	6.75135	6.75471	85.34127	single
1113	9.18366	74.97847	6.84518	39.61206	36.04665	0.00000	4.99829	6.36108	Wendy Juarez	Y	011-83-6956	16.44199	5.23004	8.24455	7.72757	56.35446	widowed
1114	3.80879	86.07403	7.18449	57.66369	44.08927	1.00000	8.45325	5.25817	Elizabeth Taylor	Y	311-15-7874	8.21076	6.09588	7.00084	7.05016	74.21196	divoced
1115	8.46697	124.38111	4.42220	23.01854	51.12042	1.00000	5.92861	5.30448	Timothy Underwood	Y	158-84-9362	8.23962	4.94009	7.32850	5.98917	86.70391	single
1116	6.09899	73.57718	8.82901	65.64214	46.40856	0.00000	6.08281	7.92051	Eduardo Randall	no	199-48-6769	12.38866	8.97237	7.68277	7.97235	47.61116	married
1117	8.32975	5.89259	6.09135	51.55634	63.01013	1.00000	7.53875	6.63281	Nancy Mitchell	no	663-04-5183	5.71290	6.13825	6.40547	6.71515	76.72551	married
1118	5.97734	38.96581	6.18117	36.69564	44.36208	1.00000	7.93063	5.57843	Frances Garcia	no	584-63-5668	7.73312	5.22151	7.28132	7.52905	60.68344	divoced
1119	7.58230	126.38805	6.35198	33.95755	70.18945	1.00000	4.64685	5.50923	Shirley Curtis	no	058-65-9818	5.27592	5.77657	5.99319	7.97163	42.37303	widowed
1120	8.59387	92.20588	7.56206	53.11482	39.52879	1.00000	5.83507	7.44250	Jason Riley	no	388-76-0694	5.95113	6.70398	5.89023	7.09853	69.95683	divoced
1121	8.06365	120.11957	6.62277	65.16035	41.31308	0.00000	4.69796	7.45595	Savannah Knox	yes	483-14-7556	8.51649	5.53571	7.32800	5.94622	89.21351	married
1122	6.43024	130.56974	6.91918	52.38596	54.65467	1.00000	9.67401	6.28673	Shane Johnson	no	472-85-7399	6.08884	4.64869	5.01017	8.05807	38.59162	single
1123	5.40306	94.37050	5.59068	47.67999	59.82962	1.00000	8.24193	5.75283	Martha Reeves	no	121-20-0989	4.24242	6.57689	5.66664	7.16857	68.43791	divoced
1124	6.34925	23.57775	6.59626	64.97307	51.02225	0.00000	7.53457	7.74128	Daniel Bryan	Y	039-46-8889	10.70546	10.56386	6.96778	6.29843	86.77932	married
1125	4.98783	93.19054	5.97930	49.39647	57.57493	0.00000	5.95662	8.11724	Daniel Price	no	437-43-2606	9.19212	8.40408	6.91577	7.28401	71.43805	married
1126	5.98426	71.71314	7.83509	39.83157	61.75562	0.00000	5.46699	6.83922	Theresa Gardner	Y	448-51-4081	7.54944	7.75746	6.49810	6.19201	80.29658	widowed
1127	7.38679	55.95038	7.70977	51.94050	53.08656	0.00000	5.54000	5.45956	Elizabeth Gonzalez	no	029-65-1628	6.86573	8.05344	6.05546	7.31942	72.03961	married
1128	6.36925	56.91552	7.76657	65.70857	43.94789	1.00000	7.79378	5.64007	Jeffrey Johnson	yes	616-05-2142	12.54443	4.67815	7.88652	6.29022	80.68357	single
1129	7.71770	37.44404	8.57680	49.42770	77.76699	1.00000	3.45878	6.23497	Kevin Lambert	Y	294-16-5803	9.23337	6.12926	6.58805	8.82870	13.48548	single
1130	5.22414	71.04431	6.33050	46.46131	28.66009	1.00000	8.44358	7.96171	Travis Cole	yes	710-47-5772	9.34492	8.12119	7.17358	6.14444	85.21286	nop
1131	7.87827	94.38775	6.55159	62.39349	35.71623	1.00000	4.52968	7.35766	James Phillips	yes	528-87-9896	11.68925	7.12839	7.78523	5.74476	86.06686	separated
1132	6.00084	45.93463	6.70429	64.76328	42.33084	0.00000	5.42742	7.10933	Travis Sherman	yes	124-18-6965	12.09278	6.74304	7.59054	7.89940	46.30308	single
1133	8.27652	74.01719	7.32235	51.52010	63.72126	0.00000	6.07368	5.30554	Catherine Bailey	no	690-92-6200	3.94531	3.19714	5.16643	8.10853	36.71601	single
1134	7.61533	23.80057	6.29500	76.27689	49.92149	1.00000	7.20744	4.66309	Marcus Spencer	no	726-14-7417	43.90381	5.35318	9.40346	6.98728	78.85193	nop
1135	7.82993	50.54879	5.79796	27.90751	56.28448	1.00000	6.21606	5.00318	Lisa Tyler	no	358-94-1624	9.08700	5.31989	7.06280	5.54563	64.24946	nop
1136	7.95762	35.24382	6.98985	43.08062	59.75514	1.00000	4.62344	6.75425	Erin Mccann	Y	423-73-1903	16.37204	6.53032	8.29945	6.57986	79.27302	divoced
1137	7.04526	62.29238	8.33431	55.25791	26.69087	0.00000	7.80395	8.87728	Jeffrey Hogan	Y	157-83-9332	8.23922	7.98481	7.24054	6.88495	79.21468	divoced
1138	7.40078	106.42700	7.72984	43.24444	38.99486	1.00000	5.96559	6.07863	Annette Goodwin	yes	523-95-1885	14.78466	6.65190	7.94878	7.90202	49.59500	widowed
1139	5.90436	109.91097	7.01262	61.73828	42.38735	0.00000	6.22095	7.25777	Colton Li	Y	853-89-2592	8.54065	8.69928	7.44765	5.38057	67.80183	single
1140	5.23194	88.52921	6.49520	69.06904	50.04997	1.00000	8.92714	7.53399	Peter Stafford	yes	402-52-0808	13.55159	7.90564	7.59702	5.82596	86.68320	widowed
1141	5.92060	98.37316	7.25645	68.24277	50.03467	1.00000	8.13983	5.47287	Kelly Craig	no	858-91-5657	6.01432	6.18919	5.75161	5.98080	87.25515	single
1142	6.55495	82.34042	6.76047	39.89400	39.36745	1.00000	7.00401	2.93920	Ariel Conway	Y	268-75-3646	7.96051	4.80002	7.31506	8.47734	24.67334	divoced
1143	9.24972	39.02884	7.78531	43.01503	44.85401	1.00000	4.54724	8.50108	Brian Perry	N	201-35-1569	7.50148	6.84643	6.85766	7.04660	79.34186	divoced
1144	6.18804	49.13918	6.65450	55.74051	29.13406	0.00000	7.17472	8.49987	Anthony Foley	Y	343-86-7820	5.44080	8.05367	6.76187	7.10083	70.40478	divoced
1145	8.06364	98.59826	7.11979	57.98835	44.00498	0.00000	5.57374	10.42775	Robert Clark	yes	146-05-1078	7.42837	7.82766	5.61224	7.48652	65.31334	single
1146	2.70696	51.93048	4.88913	60.76157	31.92622	0.00000	2.74878	9.01761	Michele Cantrell	Y	738-81-5413	1.55174	8.14953	5.52450	7.93211	49.78170	married
1147	5.94163	28.32251	8.08566	74.12031	33.85155	1.00000	7.19062	4.57427	Jeanne Norman	no	085-44-2150	4.69417	5.62691	6.32454	6.38163	86.23118	married
1148	6.76931	131.26284	6.01274	71.88654	58.34978	1.00000	6.71220	5.01612	Dale Rivera	Y	671-72-3499	14.06236	5.27131	7.87988	5.84749	86.44588	married
1149	5.42361	63.13380	6.77587	69.86117	52.50303	1.00000	9.08783	6.27972	Jessica Edwards DDS	yes	226-69-3165	13.56565	5.63913	7.36450	9.02431	9.61971	single
1150	8.75185	33.55730	5.70163	38.62300	47.13214	1.00000	6.36181	5.65855	Taylor Ware	no	144-72-0481	12.26061	5.04305	7.88420	8.19619	38.29681	divoced
1151	6.35618	56.83816	5.24742	61.67492	57.94979	0.00000	7.46836	9.31784	Michelle Barker	Y	800-99-2056	28.11640	6.55899	8.87130	6.69474	84.06469	widowed
1152	4.51329	123.20180	8.04099	36.03940	66.75300	1.00000	9.70302	7.14067	Dawn Donovan	yes	425-60-0658	5.45001	6.49396	6.05458	5.20590	69.38439	married
1153	5.95685	22.46746	6.71836	57.82665	54.86210	1.00000	7.21019	5.57528	Adrienne Williams	yes	314-92-8490	3.24505	5.57698	5.83339	8.01794	38.76769	divoced
1154	7.01329	18.91381	6.46511	44.58283	33.18657	1.00000	7.33792	4.13964	Brooke Roman	yes	257-63-4523	6.33793	5.47648	6.16671	9.07209	8.14653	married
1155	5.58674	68.42888	7.58962	46.87158	22.69378	0.00000	5.84741	8.43838	Laura Berg	Y	284-47-4672	9.41296	7.33306	7.36994	6.22961	90.00804	married
1156	8.33521	63.92990	6.96074	37.23872	65.23316	0.00000	8.77416	9.30523	James Cantu	no	419-85-7315	8.12185	5.67644	6.88692	6.21599	89.99870	married
1157	7.25922	67.01732	8.79715	38.57551	54.19819	1.00000	7.26018	4.71175	Gina Davis	no	809-40-9590	5.58813	5.74595	6.66650	4.92197	52.63173	married
1158	8.86431	52.69400	4.90520	41.16246	52.86214	1.00000	7.37820	5.94495	Michelle Tucker	no	657-44-6759	3.05762	5.33306	6.52443	6.04434	86.32592	married
1159	4.80135	75.41473	7.15715	53.52080	46.70430	0.00000	4.05563	8.03493	Cody Middleton	no	043-94-1806	7.05548	6.27295	6.36325	5.14016	66.91459	married
1160	7.21046	46.30856	7.93739	77.78902	43.27516	0.00000	4.27687	6.23050	Jessica Smith	yes	360-52-0654	1.83662	4.05318	5.25336	5.69220	84.75587	divoced
1161	6.05637	-5.69658	6.92900	72.59753	66.58042	0.00000	6.27681	7.51179	David Jackson	Y	359-03-9824	4.62357	8.03059	5.29190	5.85414	79.39751	widowed
1162	7.77983	87.39642	5.93807	52.61210	46.14273	1.00000	5.76557	5.67876	Yolanda Hampton	no	680-01-2386	33.06190	5.90916	9.07785	5.77517	88.48664	divoced
1163	8.94364	126.78366	6.66607	43.50883	70.06863	1.00000	8.04147	6.56920	Wayne Nixon	N	587-31-5468	10.37648	5.91574	7.23123	7.43694	63.86567	married
1164	6.12734	39.21689	8.41954	50.47879	48.85011	1.00000	8.24140	6.25487	Megan Bailey	no	673-54-1987	1.82380	5.53227	3.62335	5.83261	82.82089	nop
1165	5.86750	93.70368	7.34937	25.04967	61.55225	1.00000	9.41242	8.42340	Christopher Humphrey	no	849-09-6275	7.63129	7.46410	6.89384	5.97334	85.00015	married
1166	9.02823	50.35693	6.80867	50.61202	54.91651	1.00000	5.61310	6.51091	Steven Hernandez	yes	110-87-0744	16.58398	5.43915	8.14043	8.14062	37.50012	married
1167	5.53058	82.19058	7.00613	40.61468	54.81382	1.00000	6.77108	5.84142	Michael Griffin	Y	493-79-8275	8.96531	6.87926	6.70814	7.27371	72.11368	married
1168	9.58618	66.12911	6.56155	72.57720	63.69650	1.00000	5.75562	6.73834	Todd Valentine	Y	383-71-5391	5.17190	5.12982	6.14715	5.16267	69.00816	divoced
1169	7.39404	88.99303	5.95422	40.67840	63.02311	1.00000	4.13366	6.25849	Kevin Davidson	Y	898-30-8414	34.19344	6.54797	9.21037	6.82708	83.04410	single
1170	6.29812	104.64570	5.05674	59.70871	54.76922	1.00000	8.55818	6.98622	Jason Shepard	yes	245-30-0588	8.20034	6.71120	5.44261	6.54935	93.03622	divoced
1171	8.41530	15.25370	5.18067	26.56995	49.38794	0.00000	5.13782	8.89124	Yolanda Hernandez	no	839-35-9133	4.94753	6.84134	5.80098	6.00986	81.80493	married
1172	8.20889	32.83535	7.48642	45.05917	38.97699	1.00000	6.29144	6.54417	Darryl Gonzalez II	Y	474-40-6720	7.12827	6.33680	6.10429	7.40940	59.15676	widowed
1173	4.46963	61.61586	5.88918	49.10746	51.13753	1.00000	3.52008	6.04453	Elizabeth Arnold	no	791-18-9954	6.26787		6.74598	7.82760	48.50401	divoced
1174	3.89650	74.34825	7.85146	63.78121	37.55537	0.00000	3.90622	8.66360	Joshua Martinez	no	860-94-4097	7.20635	8.04774	6.78949	7.00240	75.41441	separated
1175	8.15139	85.67828	7.16545	50.83241	51.93904	1.00000	6.30711	5.05799	Jake Johnson	no	658-42-8113	9.21332	5.06807	7.91487	6.99726	79.60525	widowed
1176	7.37882	-15.05683	7.00728	58.68472	46.10226	1.00000	5.02070	6.41920	Christina Lucero	no	159-82-6480	6.15084	6.83245	6.39894	6.46125	81.76969	married
1177	7.83383	64.99365	6.16422	45.96213	55.16231	0.00000	5.97053	6.20521	Christopher Nelson	yes	186-19-8342	17.36759	3.74111	8.50960	6.42052	89.28583	separated
1178	8.73804	29.05282	7.30307	47.75240	60.27145	1.00000	4.71795	8.61314	Kim Smith	Y	367-98-8158	7.49161	7.45965	6.98581	5.47764	75.62973	widowed
1179	7.28941	72.91142	6.68519	62.03907	68.81619	1.00000	6.12194	4.80076	Erin Costa	no	613-30-4779	9.30330	5.63156	7.02135	6.27785	82.98880	nop
1180	6.01518	30.45567	6.17548	50.31551	46.17731	1.00000	8.22954	5.28778	Shawna Martin	no	115-84-6926	3.41124	4.81083	6.18606	8.91136	8.94839	nop
1181	5.74118	122.44118	7.62553	47.63195	40.99261	0.00000	5.98473	8.81932	Alicia Bailey	no	263-98-1171	7.02681	9.18548	6.72386	5.90833	83.35305	divoced
1182	5.91171	49.74666	6.75032	33.06292	46.83208	1.00000	7.36679	6.19748	James Miller	no	277-36-8616	17.62402	6.76841	8.39873	6.28452	88.35931	married
1183	8.01506	62.12963	5.03902	46.41423	68.33612	0.00000	4.40207	9.09196	Jamie Webb	yes	475-04-2853	5.63169	7.07266	6.32655	7.28447	70.59162	married
1184	7.14647	55.83348	5.87389	51.01607	39.39569	0.00000	5.23320	9.07924	Shannon Martin	Y	469-13-4180	16.25163	6.10363	8.16327	7.07431	70.84143	divoced
1185	6.93937	62.05738	6.15075	65.71978	42.53610	1.00000	4.68646	4.78112	Ashley Thornton	Y	758-12-4943	12.08479	5.74842	7.57833	7.82358	46.77952	separated
1186	6.22301	102.43460	8.27451	34.27126	61.98930	0.00000	3.89581	7.83581	Virginia Johnson	no	759-52-2355	11.80765	6.50768	7.78829	7.58091	67.09160	married
1187	5.16272	107.57380	8.26350	31.20510	63.97854	0.00000	5.50824	7.93594	Derek Mack	yes	809-12-1641	6.67996	9.00918	5.89260	7.54144	59.00581	married
1188	8.06484	118.33882	5.28885	38.27218	53.20169	1.00000	4.88228	5.92749	Jasmine Anderson	no	467-51-4937	7.99849	5.72864	6.37019	6.97287	79.93364	divoced
1189	6.11431	59.17756	6.10915	38.46096	52.97981	1.00000	6.96457	6.50311	Jason Rich Jr.	no	452-22-7203	2.77159	7.23534	5.89874	7.83025	47.77356	single
1190	4.53004	78.17173	7.35858	64.66847	38.66259	0.00000	5.91405	7.55810	Mary Watson	no	836-13-7337	5.17686	9.32070	6.18881	6.62804	74.04093	single
1191	8.44129	50.93096	7.34122	78.56538	50.35833	1.00000	5.04657	6.04925	Alexandra Edwards	yes	348-77-2357	5.67424	5.50052	6.57350	9.83584	10.51618	separated
1192	7.87004	57.67553	4.78979	63.88088	64.70461	1.00000	3.11344	6.25502	Nicholas Burke	yes	382-14-0595	6.68528	5.95172	6.79215	7.23720	59.56889	single
1193	9.33615	57.42470	6.74597	60.67337	42.89534	0.00000	7.10621	8.67172	Alice Cross	no	416-78-7809	6.68336	6.45844	6.34562	8.26364	32.47614	separated
1194	8.12172	77.41380	6.05987	56.49594	34.95310	1.00000	6.34182	4.93738	Suzanne Grant	Y	144-25-5013	10.41787	4.99731	5.90166	6.55208	80.27338	widowed
1195	7.66331	55.37868	6.88865	40.72378	63.69915	0.00000	5.51819	9.56650	Ryan Lee	Y	452-48-3291	5.45068	6.83033	6.47302	6.52613	78.67452	divoced
1196	6.67012	141.86596	7.32475	49.90857	48.56341	1.00000	6.32387	2.32513	Jesse Wolfe	Y	779-19-7839	5.48555	4.05234	5.35611	5.46138	70.28050	single
1197	9.86380	87.91326	5.54549	41.16383	58.05720	1.00000	3.41189	8.97096	Harry Simmons	no	282-81-4926	7.42930	6.52472	7.31467	7.17549	68.22122	separated
1198	8.39853	102.96020	7.10723	39.39420	46.39055	0.00000	6.88812	8.14347	Alicia Frazier	Y	676-17-7364	11.78013	5.50512	7.97602	7.14818	72.11219	married
1199	4.95573	104.44748	6.50399	38.65708	52.88226	1.00000	9.03572	7.02892	Brianna Simpson	yes	423-35-0912	7.10309	6.66586	6.75053	6.35397	80.20278	divoced
1200	5.96829	105.97521	6.87524	33.99097	55.21956	1.00000	7.45546	6.02660	Frank Long	yes	729-85-3826	4.37041	6.81440	4.95226	4.41633	42.42742	single
1201	7.16551	99.78767	6.63235	38.97817	43.92725	1.00000	6.77916	3.22377	Katie Collins MD	yes	703-36-1344	4.06845	4.43174	6.18733	7.17780	73.97145	divoced
1202	8.64965	55.43885	6.57366	21.21730	28.81496	1.00000	5.89474	6.89825	Anthony Day	no	826-19-0365		6.18482	7.82607	6.27400	83.80126	married
1203	8.08438	71.29399	5.86755	38.62409	55.47742	1.00000	4.57456	5.91044	Tamara Adams	yes	851-09-6930	13.09005	5.64396	7.76035	8.29110	31.30822	nop
1204	6.24701	29.64401	6.89809	58.37466	57.42709	1.00000	6.39711	6.64004	Christine Martinez	no	552-59-4235	20.48090	7.21061	8.50366	6.22989	83.48986	widowed
1205	4.43167	103.09144	6.64241	55.51167	73.98174	1.00000	7.78520	5.12083	Amber Pearson	Y	175-29-5113	7.38036	6.04439	5.36712	5.72865	80.20460	widowed
1206	6.15089	90.37300	7.14665	39.96871	46.24828	1.00000	9.07629	7.63140	Crystal Lee	no	526-96-8982	12.00165	6.66510	7.76043	6.44981	87.83000	married
1207	3.76711	59.09526	5.47033	52.47181	49.69535	1.00000	7.68621	5.51930	Manuel Ruiz	yes	867-45-3734	7.48701	7.62059	6.28069	6.57601	89.99179	divoced
1208	7.74711	95.04148	7.53345	59.71546	67.50122	0.00000	5.45241	8.36322	Michael Chambers	Y	714-25-5859	12.25907	5.79059	8.00187	6.29794	88.07047	single
1209	6.89179	103.79000	5.43962	38.70050	35.04215	1.00000	4.77973	3.37299	Carl Griffin	no	350-71-8168	3.70743	4.55557	6.64022	7.61167	48.69316	married
1210	8.56414	46.45577	8.01328	33.87484	36.30603	1.00000	5.49751	6.52941	Erin Ashley	yes	210-86-8938	15.60486	5.88707	7.82718	4.76375	44.64670	single
1211	6.93300	52.71133	8.94767	44.98094	49.27667	1.00000	8.42730	6.20743	Christine Nelson	Y	266-89-6739	13.69862	5.10765	7.81528	7.39498	58.82439	divoced
1212	8.12811	40.99768	7.01747	34.69006	41.28199	1.00000	5.54403	6.08928	Joseph Rowland	N	443-25-5705	25.96001	5.91451	8.86244	6.70094	80.27647	single
1213	8.29626	130.60249	5.09122	40.83811	56.70388	1.00000	6.03207	6.16980	Angel Beard	no	652-34-3006	9.71914	5.88741	7.54281	8.02297	31.54135	widowed
1214	5.81902	90.39927	6.06918	16.40730	34.63767	1.00000	7.85552	5.41753	Laura Young	N	216-23-1388	14.39329	5.57449	8.04410	6.56470	84.10063	divoced
1215	3.73798	76.72629	6.44475	42.76181	43.96746	0.00000	3.31803	7.56957	Jeremy Phelps	Y	861-96-2192	10.54382		7.36294	6.29402	81.47952	single
1216	4.96059	90.53636	5.33524	47.77840	67.40254	0.00000	5.04442	9.37066	Amy Henderson	no	035-05-8900	10.55491	7.17337	7.91660	7.59566	65.94484	widowed
1217	6.47686	71.62222	7.01440	53.94363	63.52693	0.00000	7.81945	7.45819	Tammy Holmes	no	028-69-2314	9.62825	8.92785	6.81304	6.32865	87.91912	separated
1218	6.98469	79.34061	6.02495	32.00107	40.64574	1.00000	7.07810	4.46060	Carrie Hunter	no	325-92-3302	4.50385	5.75051	6.12840	7.67794	49.00673	married
1219	8.30598	41.92292	6.78224	57.81232	55.91462	1.00000	5.75657	7.53379	Victoria Schultz	no	285-76-6658	14.43461	7.04760	8.24508	6.52446	79.68684	divoced
1220	6.13732	134.25425	6.83409	35.92757	27.93646	1.00000	8.61497	4.47970	Alexander Adams	no	766-40-2725	6.64592	3.40623	6.65109	7.15597	67.36611	divoced
1221	6.62785	44.55453	5.36540	39.95467	52.20434	1.00000	6.53130	4.26553	Matthew Sparks	no	256-22-5375	6.92700	4.61992	7.20145	6.44865	85.48087	divoced
1222	7.55860	80.55467	7.58806	42.35526	40.10599	1.00000	4.23953	6.11416	Sandra Long DDS	yes	846-77-6772	22.11352	6.27965	8.50363	7.34466	65.96189	separated
1223	7.08365	14.10241	8.08386	35.21983	63.49004	0.00000	7.09293	7.55008	Shari Lucas	no	417-91-5241	7.80095	7.50687	6.86999	6.53128	82.61506	married
1224	9.04710	98.45967	7.03343	27.87515	43.25727	1.00000	5.46963	6.96603	Ryan Jackson	no	691-03-7207	5.66409	5.80526	6.20188	4.41760	34.51322	widowed
1225	7.24117	82.10539	8.36706	45.35055	41.28058	1.00000	6.65518	4.24494	Stephanie Page	no	815-41-6706	5.31523	5.25965	5.67863	7.71474	50.97260	widowed
1226	5.44419	175.75265	6.00470	46.54668	43.84692	1.00000	9.83295	6.28882	Miss Stephanie Watson DVM	yes	158-07-8962	4.91693	5.11594	6.14928	6.28511	85.07491	single
1227	5.58954	75.20368	5.68270	66.48246	36.91683	0.00000	5.40905	6.95502	Jennifer Wu	no	849-41-3378	3.13007	7.76621	5.29974	6.35852	80.18962	widowed
1228	8.50155	104.69670	7.76907	42.59079	29.55521	1.00000	5.21760	4.51690	Carol Reyes	Y	366-79-5255	5.88809	4.09831	5.82584	4.95558	58.40836	single
1229	6.97638	98.38319	6.94632	43.05736	51.92168	1.00000	2.87095	6.40981	Susan Armstrong	no	704-28-4354	7.62207	6.91659	7.19329	5.53977	78.90380	nop
1230	4.38222	73.94095	8.56969	43.27139	51.76603	0.00000	6.04276	9.04789	Denise Brock	no	336-32-9045	4.52989	7.50858	6.10238	9.51220	5.52393	nop
1231	7.61212	94.47587	5.14297	28.64842	59.95840	0.00000	5.84766	6.65657	Jared Graham	N	818-47-4074	11.31905	4.07424	7.27511	8.31424	30.34055	divoced
1232	7.99437	102.63089	7.00296	28.57823	39.22171	1.00000	6.26861	5.94442	Brian Garcia	no	538-11-0006	3.86809	6.01434	4.66770	7.30128	58.58768	single
1233	8.85271	73.35722	7.70046	26.10186	55.80359	0.00000	4.99657	9.36681	Sarah Hunter	no	213-51-9216	10.47653	7.65209	7.79696	5.24494	70.23734	nop
1234	5.81004	37.11186	7.11306	57.14873	46.71694	1.00000	7.49612	5.87598	Tonya Shields	no	724-22-0632	5.68154	6.43486	6.17164	6.98752	78.80435	married
1235	8.53843	13.83729	7.03632	71.23138	45.69522	1.00000	6.98330	6.46724	Martha Valentine	yes	377-23-1574	5.56164	6.06003	7.10205	6.50804	86.21345	widowed
1236	5.47232	127.12904	6.47594	37.52599	39.37990	1.00000	6.78628	4.88003	Haley Diaz	yes	715-03-7842	6.33732	5.46575	5.43761	7.51444	61.93241	divoced
1237	6.85432	4.71469	6.46003	69.73475	45.98223	1.00000	7.23123	5.89281	Emily Rodriguez	no	428-89-4469	5.99802	6.46250	7.16029	8.05404	43.81808	married
1238	8.14599	92.51435	7.60440	56.47472	37.78646	1.00000	6.09504	6.43350	Deborah Simpson	yes	373-04-8007	7.63121	6.28025	7.03710	5.47456	75.08140	married
1239	6.30675	40.88804	5.61994	75.35817	49.46871	0.00000	5.47683	6.46278	Natalie Oconnor	yes	268-96-6638	11.30179	7.53130	7.40420	5.57687	76.06327	divoced
1240	6.12526	67.48929	8.75810	57.41270	39.22505	0.00000	7.93971	8.03048	Lisa Aguilar	yes	613-88-3444	7.52556	9.05738	6.85897	7.31615	70.52656	single
