job	company	sex	residence	blood_group	ssn	name	birthdate	race	age	leukocyty	weight	hbver	HK group	weight group	er-cv	ast	indicator	hematokrit	trombocyty	smoker	alt	etytr	erytrocyty	hemoglobin	alp	relationship
Commercial art gallery manager	Erickson-Lee	F	"810 Stephanie Crescent
Stevenport, CT 64622"	A+	456-45-4882	Caroline Nguyen	1961-02-23	White	60	5.07103	74.72278	6.23134	6-7	70-80	54.51214	49.51483	0.0	6.11533	7.4415	yes	1.42834	7.99401	5.37275	5.21879	65.43209	widowed
Social worker	Henderson PLC	F	"2364 Cynthia Wells Suite 539
Port Karenbury, MS 84459"	O-	619-75-3955	Debra Marquez	1981-01-03	White	40	6.081	77.33119	7.16073	8-9	70-80	34.35924	43.98635	1.0	8.67616	6.13401	no	10.51433	6.50944	7.42812	5.89095	85.84456	married
Event organiser	Zuniga-Coleman	F	"6257 John Drives Apt. 532
Ayalafurt, MD 89242"	B-	126-72-6813	Amanda Sanchez	2007-02-11	Black	14	8.96925	88.40894	7.02435	4-5	80-90	55.33251	39.04401	1.0	4.3834	7.09953	no	6.99178	5.83998	6.17282	8.57187	19.45073	single
Drilling engineer	Mills, Campbell and Navarro	M	"8692 Randall Forges
Davidsonmouth, VA 74732"	O+	005-66-0703	Ian Evans	1966-04-01	White	55	7.10379	78.52823	5.72453	5-6	70-80	20.48302	41.25021	1.0	5.21998	5.89878	yes	5.19239	6.66765	5.63251	6.72102	90.38917	married
Sales professional, IT	Ward, Cooper and Black	M	"228 Marcus Station Suite 220
East Shannonberg, FL 75997"	B+	493-64-6165	Cameron Gilmore	1969-04-13	Black	52	6.51918	106.63022	7.75193	7-8	100-110	42.76655	26.57267	1.0	7.9021	4.73969	no	14.901	4.35588	8.01491	8.22202	29.20307	single
Industrial buyer	Nelson-Gamble	M	"5265 Jackson Estate Suite 112
Pamelaland, NV 11402"	B+	745-83-5993	Caleb Moore	2003-12-18	White	17	8.14082	60.35586	7.11366	5-6	60-70	66.92044	60.20172	1.0	5.64003	6.46092	yes	5.19389	6.24722	5.16742	7.40119	62.24743	married
Sound technician, broadcasting/film/video	Burgess, Decker and Olson	M	"239 Veronica Courts Apt. 846
Port Carolynhaven, OR 60461"	A+	705-25-1727	David Lee	2000-12-20	White	20	9.26127	54.43863	5.76993	4-5	50-60	47.74582	49.96032	1.0	4.17154	8.41575	no	12.1267	6.71075	7.84595	6.61406	85.0372	divorced
Tax inspector	Morton, Craig and Carter	M	"2892 Robin Row Suite 883
Shellyborough, MI 90852"	B-	028-83-9080	Christopher Mcdaniel	1913-09-24	White	108	8.11359	147.92638	8.30152	5-6	140-150	65.46166	52.07902	0.0	5.14794	6.89408	no	10.29669	4.87763	7.6623	6.10689	80.26768	divorced
Meteorologist	Schwartz-Snyder	F	"08924 Angela Way
South Jesse, DE 51119"	B-	198-17-5818	Karen Neal	1941-02-17	White	80	6.95174	78.63772	6.71674	5-6	70-80	55.79664	48.03857	1.0	5.27815	4.66021	no	7.14461	5.72058	6.76558	7.66899	60.36469	divorced
Comptroller	Robinson, Strickland and Smith	F	"5159 Howard Cove Suite 417
Myersbury, DC 88393"	O+	093-16-0929	Tiffany Stark	1996-01-11	White	25	8.02138	73.60444	6.25955	7-8	70-80	57.66982	47.99318	0.0	7.49712	7.1528	yes	3.14156	4.04641	5.49177	5.56258	82.32768	separated
Health and safety adviser	Sandoval, Martin and Bennett	F	"9852 Miller Shoals
Garciaside, IN 94903"	AB+	684-52-4999	Lisa Hayes MD	1950-07-20	White	71	7.06933	7.88261	5.9416	7-8	0-10		49.24912	1.0	7.36573	5.36487	no	7.20249	5.79821	6.24054	6.94766	75.4217	divorced
Furniture conservator/restorer	Barnes Ltd	M	"3617 Davis Union Apt. 977
Port Samuel, VT 50436"	AB-	132-86-5939	Luke Cantrell	1996-06-09	Black	25	6.16076	6.30346	7.01855	8-9		41.02078	45.77196	1.0	8.49344	5.06918	no	9.41788	4.64565	7.56047	6.40417	88.19385	single
Health and safety adviser	Bryant-Kane	M	"76544 Casey Ford Apt. 781
East Ianchester, CA 33546"	AB-	195-17-2366	Marcus Adams	1974-07-23	Black	47	4.26577	63.94367	4.35286	8-9	60-70	33.14101	58.94757	1.0	8.4656	6.66848	no	4.19783	7.09934	6.50273	7.45521	57.24819	nop
Programmer, applications	Valenzuela and Sons	M	"625 Donna Pines Suite 734
New Brenda, TX 54807"	AB-	742-97-6478	John Arnold	1983-12-28	Asian	37	7.50989	4.07333	5.84147	5-6	0-10	45.24987	48.1696	0.0	5.227	7.47598	no	13.1814	4.95574	7.91031	6.51556	86.42614	single
Museum education officer	Reed-Miller	F	"87471 Terrance Corner Apt. 223
Lucasborough, NM 61459"	O-	285-68-0305	Stephanie Wilson	1906-01-29	Black	115	7.16492	82.85006	7.89857	4-5	80-90	70.42613	49.40241	1.0	4.89026	4.82494	yes	8.82137	5.60586	7.46597	7.43929	68.62737	divorced
Civil engineer, contracting	Oneal, Vazquez and Hernandez	F	"15374 Johnson Gateway
New Amandashire, IA 45797"	A-	839-81-8171	Tamara Ross	1931-07-22	Black	90	7.82115	57.43928	7.70122	5-6	50-60	70.31902	46.22612	1.0	5.17045	3.04807	no	6.43138	3.43327	5.56496	7.30215	70.35771	widowed
Tree surgeon	Smith-Flores	M	"757 Gregory Ports
Gillespieberg, SD 80430"	B-	737-66-0961	Anthony Pierce Jr.	1967-10-28	White	54	9.13422	80.13971	6.39648	6-7	80-90	42.67402	38.71031	1.0	6.59302	7.01784	no	13.69505	5.93415	8.08163	6.06402	78.41258	divorced
Network engineer	Maynard-Sullivan	F	"USS Vasquez
FPO AP 24614"	B-	867-61-2115	Mrs. Nichole Acosta DVM	1936-01-06	Asian	85	6.11504	41.76598	8.31356	3-4	40-50	50.91964	36.13748	0.0	3.89858	7.05406	yes	8.87676	7.20766	6.75275	6.99031	77.66117	widowed
Financial adviser	Harris-Sharp	M	"57489 Coleman Cliff Suite 023
Carolville, ID 19507"	A+	521-80-4547	Tyler Morgan	1919-04-19	Indian	102	7.49859	49.63098	6.42889	6-7	40-50	60.87547	55.09695	1.0	6.12075	5.46233	yes	4.44695	6.02091	4.34491	6.44036	84.64873	single
Curator	Rojas LLC	F	"347 Jill Mount Apt. 391
Port Morgan, WI 17872"	AB-	661-38-3224	Catherine Bishop	2020-01-17	Asian	1	6.21164	108.46898	6.96264	6-7	100-110	45.97128	64.33106	0.0	6.0724	7.95687	no	8.31721	7.20453	7.4276	8.21897	37.34513	nop
Chief Technology Officer	Berry, Guzman and Garcia	F	"46034 Katherine Junction
East Austinton, TX 47879"	O-	052-48-6754	Jill Blair	1964-09-29	Black	57	9.37614	26.65768	7.44261	4-5	20-30	69.49495	42.06095	1.0	4.94043	6.5478	no	7.58135	5.03732	7.03548	6.77482	83.48152	married
Oceanographer	Gordon, Cook and Alexander	M	"Unit 0933 Box 6395
DPO AP 32693"	A+	086-35-4923	Daniel Brown	2012-08-21	White	9	7.22753	73.42883	6.63823	3-4	70-80	39.00549	47.17498	1.0	3.13026	4.90309	no	9.08111	5.35914	7.19969	5.59377	77.80984	single
Horticulturist, commercial	Barnes-Newton	M	"80716 Sarah Well
Lake Donna, NY 59684"	O+	066-91-8867	Justin Clay	1977-12-24	Asian	43	5.78429	91.78459	6.76144	7-8	90-100	73.55299	48.91796	1.0	7.6117	4.83677	no	9.02888	5.38474	7.32462	5.97337	85.50625	separated
Engineer, mining	Shelton, Brown and Reynolds	M	"3074 Taylor Parkway Suite 427
Marcuston, IL 37995"	B+	208-33-7704	Adam Matthews	1948-05-20	White	73	8.39726	111.58197	8.25728	6-7	110-120	72.36189	43.74812	1.0	6.30433	6.81807	no	8.51151	6.41586	6.21952	7.14316	77.67293	divorced
Engineer, civil (consulting)	Dunn PLC	F	"2382 Shawn Fields Apt. 511
North Shannon, NV 53760"	A+	263-98-1171	Alicia Bailey	2017-09-10	White	4	5.74118	122.44118	7.62553	5-6	120-130	47.63195	40.99261	0.0	5.98473	8.81932	no	7.02681	9.18548	6.72386	5.90833	83.35305	divorced
Surveyor, building	Henson Group	M	"417 Christopher Orchard
Rogerstown, MS 14503"	AB-	134-08-3890	Eric Haynes	1914-10-05	Hawaiian	107	7.05317	95.66294	6.72935	7-8	90-100	27.62876	49.02938	1.0	7.62336	4.7357	yes	4.72386	4.53379	6.1083	6.03085	84.95438	nop
Chartered accountant	Cox-Williams	M	"7298 Grant Pass
South Jenniferside, NV 81677"	AB+	189-21-1291	Ralph Craig	1908-06-20	Black	113	5.90752	71.53568	7.36657	7-8	70-80	82.02104	45.62384	0.0	7.04152	7.8356	yes	20.31282	8.81795	8.69708	8.06492	41.09141	single
Financial risk analyst	Vargas-Navarro	M	"8824 Erin Stream
Mckayfurt, WV 83500"	A+	530-47-1882	Richard Robinson	1965-06-01	White	56	4.2064	46.38969	7.39784	5-6	40-50	54.19263	39.94121	0.0	5.4761	8.73491	yes	24.78195	7.70621	8.69762	7.60819	55.97296	divorced
Operational researcher	Owens LLC	M	"467 Calderon Stravenue
New Gregoryfort, CT 40698"	A+	553-24-9773	David Ford	1923-05-19	White	98	7.25312	81.38054	7.76715	3-4	80-90	57.82745	53.59013	0.0	3.90565	6.40958	yes	7.83658	4.37053	6.46515	5.91033	85.08951	divorced
Engineer, land	Brown Group	F	"1793 Barnes Knoll Suite 806
West Alexandertown, DC 87482"	A+	576-67-0305	Melissa Roman	1993-11-11	Black	28	6.35632	96.26429	7.48639	7-8	90-100	57.44002	49.40563	1.0	7.59511	5.29256	no	22.31995	4.46405	8.72083	6.7751	77.97329	nop
Curator	Phillips-Bennett	F	"7799 Sean Falls Apt. 544
South Cynthiamouth, NY 42771"	A-	670-34-7732	Connie Scott	1925-01-16	Indian	96	8.39855	9.74851	7.36084	7-8		55.60001	56.00147	1.0	7.59322	4.3602	no	11.32848	4.4003	7.84777	7.29495	70.02117	nop
Tour manager	Martin-Williams	F	"42760 Marshall Radial Apt. 991
West Amandahaven, NM 43325"	A-	483-36-2539	Cynthia Fuller	1933-11-25	Hawaiian	87	7.10299	38.59162	6.5422	5-6	30-40	67.10891	35.19314	0.0	5.36573	10.03027	yes	5.01428	6.93405	5.50295	7.01711	85.38813	single
Product designer	Schroeder and Sons	M	"989 Garza Drive Apt. 430
South Christopher, AK 23106"	A+	445-98-5558	Kenneth Hughes	2020-01-25	White	1	3.95972	14.50079	6.11503	6-7		47.70643	61.79979	1.0	6.871	3.01408	yes	7.92854	2.93556	6.17991	6.06918	83.47877	divorced
Intelligence analyst	Love Group	F	"38073 Carey Island
Davisfurt, NJ 44570"	B-	335-58-0890	Jennifer Daniels	1951-01-14	White	70	7.96223	119.88982	5.72481	4-5	110-120	51.46486	59.63976	1.0	4.76807	5.73849	yes	6.47684	5.64047	4.47423	6.1266	89.06364	divorced
Psychologist, counselling	Horn, Bennett and Brown	M	"57195 Dougherty Pines Apt. 120
Patrickstad, WY 78423"	A-	861-31-8338	Erik Mcdonald	1931-09-19	Black	90	8.00659	111.22643	7.95508	6-7	110-120	48.30604	45.99359	0.0	6.28385	8.41593	yes	7.73535	5.68206	7.2578	6.06413	87.54376	single
Sports development officer	Davidson, Larson and Harper	F	"394 Lindsay Landing
Davidmouth, MI 85605"	B-	727-52-6575	Stephanie Ortiz	2002-10-06	Black	19	8.13036	100.87425	5.79719	5-6	100-110	61.22791	40.20981	1.0	5.54635	5.96683	yes	5.43209	5.79857	5.65914	6.91365		married
Wellsite geologist	Mcmahon Inc	F	"08622 Brian Station Apt. 205
Lake Deniseside, MI 37767"	B+	397-44-7600	Jessica Day	1910-11-30	Hawaiian	110	7.39993	122.48974	5.56397	4-5	120-130	36.17868	54.80291	1.0	4.34679	4.94101	no	6.00831	5.39165	7.07133	5.8917	82.45231	widowed
Scientist, marine	Hernandez-Morris	M	"932 Robyn Mission Suite 404
Jamesmouth, LA 46973"	B-	010-97-1996	Daniel Benitez	1950-08-11	White	71	7.47022	60.51921	7.40498	5-6	60-70	65.92607	49.72638	1.0	5.00529	4.68908	no	8.42673	5.19509	7.14608	7.73938	43.85362	divorced
Dealer	Jackson-Silva	F	"05643 Thomas Grove
Contrerasport, OR 47287"	AB+	656-65-2634	Sherry Miller	1991-12-31	Black	29	8.54925	90.78696	7.23544	6-7	90-100	47.18631	42.68321	0.0	6.87327	7.95625	yes	10.19049	5.37055	7.22439	4.93955	52.99742	married
Fast food restaurant manager	Wilson Group	F	"1735 Mckenzie Crossroad
South Jasminechester, IN 87065"	B+	879-77-3021	Karen Walker	1986-02-18	Hawaiian	35	4.73175	101.38141	5.29645	8-9	100-110	62.47443	53.17014	1.0	8.44078	6.19227	yes	9.70343	6.76041	6.95555	7.18583	73.83456	widowed
Clinical research associate	Taylor, Carroll and Cruz	F	"24939 Veronica Orchard
Port Amy, ME 99780"	O+	776-03-1620	Loretta Solomon	1931-03-01	White	90	4.37787	49.23473	7.39719	4-5	40-50	70.57046	48.70912	0.0	4.73714	8.35222	no	6.44701	6.67416	6.7761	6.26337	79.71346	separated
Sales promotion account executive	Berger, Johnson and Green	F	"711 Dickson Squares Apt. 256
Moorechester, AR 24707"	B-	762-43-0469	Virginia Miller	1930-05-17	Black	91	7.22904	29.60822	6.66899	4-5	20-30	34.73904	26.30857	1.0	4.69541	5.39167	yes	7.93117	6.01989	7.45482	5.82031	90.60289	single
Restaurant manager, fast food	Cochran-Williams	M	"03503 Connor Stream
Lake Antonio, TN 94056"	O-	331-97-8392	Eric Brown	1947-11-07	White	74	5.70966	94.25117	6.87731	7-8	90-100	49.97305	49.90879	1.0	7.77149	5.96101	yes	5.6694	5.78535	6.19821	6.68368	75.99406	separated
Accountant, chartered management	Mcmillan-Williamson	M	"09686 Thomas Via Suite 661
Barbarashire, FL 61310"	B+	078-95-6484	Timothy Ray	1914-05-14	White	107	8.19264	64.03592	7.56245	6-7	60-70	60.50127	32.18166	1.0	6.1244	5.19279	no	7.3824	5.12397	7.00313	6.14713	87.65557	separated
Graphic designer	Young and Sons	M	"115 Moore Square Suite 672
Batesborough, KS 60420"	AB-	809-54-6661	Donald Lucas	1990-02-12	Hawaiian	31	5.08576	54.47268	7.36838	4-5	50-60	50.93301	41.01943	0.0	4.99794	8.40841	yes	6.34641	8.45818	6.27662	7.93764	46.224	married
Forensic psychologist	Cox, Robbins and Williams	M	"001 Juarez Village
Elizabethstad, MS 07386"	B+	192-77-4595	Miguel Pittman	1948-10-30	Black	73	7.89233	74.30154	7.87915	5-6	70-80	57.31462	56.53333	1.0	5.03588	6.12671	no	4.31683	6.09144	6.46045	5.70517	76.98361	divorced
Nurse, mental health	Barnett-Rojas	M	"USNS Blake
FPO AA 80601"	A+	397-86-9069	Joseph Giles	1962-02-25	Hawaiian	59	6.78879	68.12768	6.42721	5-6	60-70	26.32283	53.78055	1.0	5.48394	3.72541	no	12.82233	5.06492	8.04978	6.37568	85.35069	single
Engineer, water	Smith-Hall	F	"7012 Misty Unions
Jacobland, ME 55735"	AB-	104-92-6878	Denise Edwards	2002-05-26	White	19	6.37676	43.06686	7.46315	7-8	40-50	77.57692	53.83837	1.0	7.23345	4.2554	yes	7.89393	4.05216	5.71521	7.1109	69.49114	single
Trading standards officer	Wright, Moran and Hayes	F	"0690 Rodriguez Glens Suite 984
Andreahaven, ID 23355"	AB-	738-71-6276	Lisa Garcia	1962-03-03	White	59	4.81159	8.95452	7.00564	7-8	0-10	48.66657	36.67484	0.0	7.90103	3.85559	no	7.17186	3.85676	6.4201	6.61782	84.07833	nop
Communications engineer	Rivas-Long	F	"436 Jennifer Run
Fitzgeraldburgh, TN 66678"	AB+	235-55-0078	Robin Carlson	1910-04-04	White	111	7.68431	149.84346	7.64072	3-4	140-150	34.65443	46.39823	0.0	3.97783	10.37764	yes	26.01241	8.14802	8.87465	6.64688	84.67862	nop
Graphic designer	Molina LLC	M	"96792 Shields Greens
Baldwinfort, MA 71335"	B-	044-87-1324	George Gentry	1912-01-09	White	109	6.38532	52.27018	7.55599	9-10	50-60	31.69618	52.05985	1.0	9.13507	6.35447	no	5.81779	5.53045	6.22919	7.07097	76.3236	married
Market researcher	Johnson-Johnson	F	"32289 Amy Walks Apt. 325
North Brenda, MA 99848"	AB+	708-69-1651	Pamela White	1983-07-17	Black	38	5.35019	35.8227	5.29821	8-9	30-40	58.24834	47.83562	1.0	8.25399	6.0541	no	8.77472	5.31082	7.0777	6.5328	83.47597	divorced
Engineer, civil (consulting)	Estrada LLC	F	"7673 Daniel Crescent Suite 467
South Robert, ND 75505"	AB-	662-67-3386	Ana Ford	1953-05-09	White	68	7.00341	98.08793	8.25186	4-5	90-100	45.64381	50.76491	0.0	4.92365	9.15731	no	2.14143	6.24498	6.02806	6.85665	79.72705	nop
Designer, ceramics/pottery	King Inc	M	"0045 Patrick Prairie
East Hollyfurt, WI 05620"	A-	404-43-7183	Douglas Nelson	1907-02-14	White	114	9.83882	64.18852	7.35718	8-9	60-70	34.21942	68.06721	0.0	8.2208	7.25708	yes	10.53038	5.05709	7.6783	7.22499	74.64182	married
Health physicist	Freeman, Vaughn and Martinez	M	"923 Kara Alley
East Marthafort, VT 41087"	B+	297-73-4679	Harold Jones	1921-11-06	White	100	7.07024	96.07215	7.16321	6-7	90-100	48.75548	41.93255	1.0	6.04753	4.10977	no	11.68559	5.22711	7.54786	6.36603	93.9902	widowed
Journalist, magazine	Butler Group	M	"3055 Armstrong Village Apt. 044
Hallfort, TX 27703"	B-	308-94-0755	Victor Sanchez	1989-05-10	White	32	7.34867	74.24455	5.19564	7-8	70-80	73.82265	58.65446	1.0	7.66729	3.36021	yes	5.60365	4.50778	6.49911	5.45504	70.4489	married
Ambulance person	Cruz-Anthony	F	"60816 Elizabeth Crest Apt. 547
Kyleport, WY 97592"	O+	038-04-2678	Alexandra Duran	1944-09-05	White	77	5.29384	63.18241	9.24647	7-8	60-70	43.17318	51.48011	1.0	7.50288	5.97338	no	8.0525	6.17663	6.48283	7.03899	72.77198	divorced
Production assistant, radio	Patel LLC	M	"7601 Jackson Squares Suite 070
Coxchester, MT 72116"	A-	473-89-6329	Jeremy Rosales	2021-08-02	Black	0	5.44844	99.06725	7.06972	7-8	90-100	57.59596	49.7842	1.0	7.1092	4.88751	no	8.3568	5.72633	6.79678	4.73703	49.07026	married
Advertising art director	Potter PLC	F	"85689 Joseph Pass Apt. 335
Melissashire, CT 74413"	AB+	813-93-7019	Kimberly Hall	1976-09-10	White	45	5.74617	102.88707	7.13941	6-7	100-110	49.74412	36.62783	1.0	6.65061	4.33638	yes	15.87404	4.90666	8.01933	6.04047	83.05486	single
Magazine journalist	Rivera, Taylor and Baker	M	"43223 Hanson Lakes Apt. 282
West Jillhaven, HI 95851"	B-	523-83-5426	William Anderson	2018-01-02	Asian	3	7.71577	81.44636	6.43389	4-5	80-90	59.96358	79.15318	0.0	4.08172	8.5571	yes	12.28267	6.50668	7.682	5.62302	71.34011	single
Administrator, arts	Frey-Hill	F	"7325 Samantha Square
Janicebury, MT 26587"	O-	393-45-9078	Michelle Marshall	2004-05-25	White	17	9.10087	6.17776	5.62941	7-8	0-10	50.23102	71.01947	0.0	7.15996	6.79806	yes	8.98793	4.62365	7.34066	6.61657	86.51014	married
Herbalist	Webb-Martin	F	"6852 Michelle Coves
East Jesuschester, NY 49713"	O+	091-43-7455	Dawn Wagner	1979-01-17	Black	42	7.22955	73.47894	7.48183	5-6	70-80	31.767	30.9836	0.0	5.44559	8.12812	yes	6.68135	5.25353	6.25125	8.68257	18.70946	single
Teacher, secondary school	Schmidt, Harper and Grant	M	"69864 Bryant Lights Apt. 902
Cookside, AR 35861"	AB-	111-79-3171	Rodney Smith	1929-09-22	Hawaiian	92	8.19012	69.90519	4.811	4-5	60-70	68.36627	40.98805	1.0	4.98297	4.77096	yes	14.50502	4.59737	8.00232	6.47318	82.68781	married
Public relations officer	Williams-Manning	M	"92251 Jacob Burgs Apt. 135
West Brianberg, SC 65440"	AB+	474-84-1130	Marvin Pierce	2002-07-21	Black	19	8.0219	44.9466	7.86538	6-7	40-50	75.75108	53.72591	1.0	6.30863	4.13548	no	4.82528	4.37392	5.45708	5.34639	67.44941	divorced
Fashion designer	Case and Sons	M	"05740 Thomas Well Apt. 607
Hicksshire, KY 43817"	A-	453-33-4126	George Flores	1918-05-18	Black	103	9.11285	33.21925	7.45554	4-5	30-40	47.13654	49.08603	1.0	4.01574	7.79273	yes	28.29372	6.27232	8.93576	4.07935	21.62073	nop
Clinical cytogeneticist	Henderson-Mcintyre	F	"450 Michael Isle
Staffordmouth, HI 08552"	AB-	530-82-4846	Kaitlyn Marshall	2014-10-14	White	7	6.99432	17.22851	7.37662	5-6	10-20	48.60588	32.32327	1.0	5.20637	4.9357	yes	8.21267	5.90055	7.23708	6.44498	87.70112	married
Paramedic	Robinson Inc	F	"0524 Bell Road Apt. 771
Michaelview, WY 04270"	A+	551-93-5596	Amy Harris	1991-05-12	Black	30	6.09575	68.04646	8.97847	7-8	60-70	33.4487	46.98658	1.0	7.82061	6.86828	no	8.65353	7.01545	7.08921	7.98219	44.5463	separated
Engineer, control and instrumentation	Wolfe Ltd	F	"2950 Gonzalez Parkways Apt. 392
West Brandon, SC 55911"	A-	550-59-3720	Lisa Mckee	1955-09-09	Black	66	9.03113	7.60658	6.2737	5-6	0-10	47.71336	52.58421	0.0	5.02604	9.95809	no	6.35282	8.31385	6.452	6.20678	88.18093	married
Optometrist	Quinn-Shelton	F	"5572 Harris Locks Apt. 820
New Andrew, VT 34153"	B+	309-34-6540	Lindsay Wilson	1919-10-03	Black	102	5.94681	74.62857	6.27885	5-6	70-80	48.69133	62.53786	0.0	5.43062	7.25379	no	6.56401	8.79256	6.94785	7.51049	60.86832	nop
Surveyor, rural practice	Williams Inc	M	"52697 Miller Isle Apt. 571
Richardland, OK 67245"	O-	103-07-1545	Todd Ferguson	1953-12-14	Hawaiian	67	4.13474	10.46529	5.43598	8-9		59.85915	68.01967	1.0	8.23029	5.07552	no	6.23398	5.03434	6.7798	8.69304	22.38352	married
Insurance risk surveyor	Holland-Robertson	M	"36422 Joseph Estates Suite 045
Port Michaelshire, WV 41187"	O-	132-24-5925	Brent Gonzalez	1921-03-01	Black	100	7.76174	50.98883	5.8277	6-7	50-60	41.46857	12.12629	1.0	6.24309	2.86119	no	10.16719	3.47022	7.57464	7.59781	67.05291	single
IT technical support officer	Murillo, Yu and Hudson	M	"2743 Gomez Landing Suite 836
East Regina, RI 27091"	B+	537-08-1267	Sean Burch	1938-06-21	Black	83	6.63246	43.70281	5.95366	6-7	40-50	67.3686	34.43227	0.0	6.69223	7.83868	yes	8.20308	6.89141	7.44226	6.59346	86.51436	divorced
Field seismologist	Greer Ltd	M	"51331 Singh Garden
Michaelmouth, CO 07747"	O-	061-61-2641	Nicholas Russo	1991-12-01	White	29	6.78554	52.46303	6.36614	9-10	50-60	49.23699	54.05086	1.0	9.21543	6.80267	no	5.66352	6.33082	4.77694	6.13728	91.672	nop
Sales promotion account executive	Barajas, Warner and Stark	F	"7762 Richard Island
Lake Douglas, AR 88588"	B+	009-08-8460	Jessica Brown	1965-04-25	Black	56	8.21107	57.6366	6.75817	5-6	50-60	52.09519	45.75579	1.0	5.44118	6.50106	no	10.59605	6.17716	7.54912	6.84397	81.67923	married
Buyer, industrial	Lozano, Torres and Clark	M	"01205 Ann Divide
North Jasonville, MS 58451"	AB-	651-22-3457	Jeffrey Walsh	1995-11-08	White	26	4.51651	100.16787	6.87632	7-8	100-110	77.77951	59.70228	1.0	7.55664	6.30099	no	23.91186	6.95993	8.72405	5.72851	79.41951	widowed
Publishing copy	Hampton-Vance	M	"8035 Merritt Lock Apt. 630
North Alishaborough, IA 57698"	B-	086-54-9381	Douglas Brown	1930-01-25	White	91	7.29353	117.43277	5.9398	4-5	110-120	47.19791	50.23168	0.0	4.80775	7.18369	yes	3.16815	4.71278	5.27987	7.51999	62.58498	single
Marine scientist	Roach-Church	F	"9549 Angela Rest Suite 600
West Austinview, WI 03065"	AB+	809-31-3178	Cindy Skinner	1956-12-12	Hawaiian	64	7.48023	76.95125	8.75934	4-5	70-80	50.16991	26.72081	1.0	4.48111	5.32672	no	5.50652	5.69058	5.78728	6.13736	85.70455	nop
Telecommunications researcher	Meyers-Cole	M	"00754 Perry Flats Apt. 388
North Jason, ME 84320"	A+	040-10-7623	Caleb Gonzalez	1917-08-20	White	104	7.22607	70.41872	6.96804	2-3	70-80	51.46325	56.62003	1.0	2.57396	6.36929	yes	15.48393	6.59004	8.39102	7.06701	75.14866	married
Claims inspector/assessor	Chavez and Sons	F	"3738 Roth Island
North Stephanie, MA 66593"	A-	494-87-0077	Shelley Reeves	2001-03-04	Hawaiian	20	7.37727	58.66133	7.25295	6-7	50-60	66.03001	59.54177	1.0	6.5137	6.59583	no	9.1047	7.20516	6.91812	6.2318	90.31321	single
Radiographer, diagnostic	Bernard Group	F	"4820 Callahan Mews Suite 062
West Juan, DC 59183"	A-	528-14-5686	Melanie Rowe	1991-04-15	White	30	8.22067	116.89146	7.17503	5-6	110-120	58.9926	53.98696	0.0	5.56712	6.76885	no	5.23851	4.65966	5.70236	7.96795	49.05687	divorced
Horticultural therapist	Higgins-Clark	M	"58517 Miller Ways Apt. 663
South Darrellberg, TN 33897"	AB+	632-41-3846	Sean Morales	1910-07-20	White	111	4.27599	57.12724	5.73116	5-6	50-60	25.61641	69.07286	0.0	5.06066	8.94554	yes	5.45099	7.61678	6.36861	6.27518	86.63125	single
Statistician	Wheeler Group	F	"Unit 2797 Box 0445
DPO AE 76528"	AB+	133-56-4811	Amanda Jenkins	1956-09-19	White	65	7.61516	107.48531	7.91099	5-6	100-110	57.72961	64.19395	0.0	5.74755	7.74579	no	4.34347	5.05448	5.04475	7.32589	72.63177	divorced
Embryologist, clinical	Maldonado-Ochoa	F	"47157 Carroll Station
Port Lauraberg, NJ 31188"	AB-	493-25-6726	Stephanie Powers	1944-08-09	White	77	4.00571	48.70208	8.00365	5-6	40-50	70.6889	37.30474	0.0	5.52048	8.79509	no	0.95331	8.03583	5.76468	7.559	56.25402	married
Sales promotion account executive	Ellison-Jones	M	"2379 James Divide Suite 874
Joshuashire, CO 56082"	B-	671-72-3499	Dale Rivera	1957-10-08	White	64	7.85323	86.4831	7.26961	6-7	80-90	51.93069	60.54807	1.0	6.06327	5.27339	no	6.29894	5.51524	5.42552	7.92858	49.48959	widowed
Furniture designer	Sutton Inc	F	"4871 Macias Spurs Suite 945
West Jesustown, NC 56892"	B-	356-41-8221	Jennifer Mcmillan	1927-05-21	White	94	6.99295	37.11791	6.60791	3-4	30-40	55.00133	49.3401	1.0	3.91722	6.09731	yes	6.36813	6.76315	6.70953	7.43518	58.88304	nop
Ophthalmologist	Mays, Thompson and Sanford	M	"554 Nelson Circle
South Ryanmouth, CO 86970"	AB-	091-10-3830	Kyle Davis	1915-03-03	White	106	7.28565	45.26494	5.53429	5-6	40-50	47.69091	45.83366	0.0	5.1035	9.68184	no	3.88013	6.81798	6.34869	6.32107	82.54496	divorced
Probation officer	Oliver, Velazquez and Olson	M	"30296 Gail Course Suite 945
Barneston, TN 02081"	B+	617-32-8996	Mr. Zachary Brown	1917-04-07	Hawaiian	104	4.73695	132.92368	5.86876	8-9	130-140	54.28109	44.13784	1.0	8.79654	7.32554	no	5.70186	7.72678	6.42315	7.50793	63.49766	divorced
Market researcher	Reynolds LLC	F	"4064 Sierra Pines
Hollandmouth, UT 37731"	O-	079-77-1953	Julie Jones	1931-04-05	Indian	90	7.7205	91.51094	8.07216	5-6	90-100	58.32734	40.17484	0.0	5.87326	5.98054	no	19.80694	6.2464	8.55904	6.18994	88.67311	married
